referencia;de;ate;meta
2024-07-01;0;60;0
2024-07-01;61;90;7325
2024-07-01;91;120;7835
2024-07-01;121;150;2680
2024-07-01;151;180;1618
2024-07-01;181;210;2307
2024-07-01;211;240;2336
2024-07-01;241;360;13167
2024-07-01;361;720;41993
2024-07-01;721;9999999;42147
