data_ref;de;ate;meta
2024-05-01;0;90;1312795
2024-05-01;91;120;1087419
2024-05-01;121;150;520212
2024-05-01;151;180;285859
2024-05-01;181;360;783853
2024-05-01;361;540;489442
2024-05-01;541;720;486341
2024-05-01;721;1080;359169
2024-05-01;1081;1800;295479
2024-05-01;1801;2190;23929
2024-05-01;2191;;33593
