referencia;de;ate;meta
2024-07-01;0;60;0
2024-07-01;61;90;14277
2024-07-01;91;120;9528
2024-07-01;121;150;9641
2024-07-01;151;180;14448
2024-07-01;181;210;6887
2024-07-01;211;240;7084
2024-07-01;241;360;13658
2024-07-01;361;720;15633
2024-07-01;721;9999999;5601
